,nodename,filesize_per_thread xfersize blocksize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
338,CN7,16G 4M 32M,4,16,27307.0,30802.0,34210.0,34734.0,0.0,0.0,0.0,4966.67,9240.96,9296.9,9295.12,9149.51,1003.77,1003.42,1005.42,1004.28
339,CN7,16G 4M 32M,8,1,62128.0,67502.0,72352.0,76022.0,0.0,0.0,0.0,4940.0,10115.49,10133.15,10180.99,10065.44,1095.03,1094.36,1093.29,1096.41
340,CN7,16G 4M 32M,8,4,61604.0,65711.0,70429.0,73226.0,0.0,0.0,0.0,4972.33,10145.66,10119.6,10222.47,10064.6,1101.58,1100.85,1100.78,1100.96
341,CN7,16G 4M 32M,8,16,60555.0,64924.0,70430.0,75323.0,0.0,0.0,0.0,5004.0,10135.74,10181.88,10308.92,10109.31,1101.23,1099.99,1102.19,1101.64
342,CN7,16G 4M 32M,16,1,303.0,342.0,370.0,386.0,0.0,0.0,0.0,3597.33,6990.57,6633.39,8297.83,7204.86,793.0,751.23,959.48,825.95
343,CN7,16G 4M 32M,16,4,289.0,321.0,364.0,372.0,0.0,0.0,0.0,3865.67,7048.69,6728.87,11552.71,7104.68,767.27,723.94,1326.95,767.91
344,CN7,16G 4M 32M,16,16,130.0,137.0,144.0,152.0,0.0,0.0,0.0,4657.67,10146.61,10093.11,10056.24,10140.71,1082.86,1081.45,1084.26,1081.72
345,CN7,32G 4M 32M,1,1,22676.0,28618.0,32637.0,35695.0,0.0,0.0,0.0,1454.0,3746.75,3867.56,3820.19,67.34,415.69,431.51,431.53,7.24
346,CN7,32G 4M 32M,1,4,22501.0,27045.0,32462.0,39934.0,0.0,0.0,0.0,1456.67,3852.68,3669.99,63.0,3722.39,430.05,415.66,6.79,414.55
347,CN7,32G 4M 32M,1,16,22501.0,26084.0,32462.0,39933.0,0.0,0.0,0.0,1459.0,3885.59,67.09,3754.75,3795.46,431.68,7.21,430.69,431.26
348,CN7,32G 4M 32M,2,1,25384.0,25909.0,30890.0,38666.0,0.0,0.0,0.0,2652.33,3556.8,7099.18,6868.25,3550.42,387.27,770.68,767.36,387.45
349,CN7,32G 4M 32M,2,4,25559.0,26346.0,32943.0,40982.0,0.0,0.0,0.0,2649.33,6984.03,3567.71,3481.16,7071.07,767.33,388.22,386.91,768.64
350,CN7,32G 4M 32M,2,16,25384.0,26171.0,32025.0,37967.0,0.0,0.0,0.0,2638.0,3514.67,7072.46,6858.26,3592.36,387.43,769.05,766.46,387.57
351,CN7,32G 4M 32M,4,1,27569.0,30321.0,33642.0,38535.0,0.0,0.0,0.0,4945.33,9984.53,10050.71,9994.23,9998.0,1085.58,1088.81,1087.84,1086.36
