0621-2202
CN10,4G,2,4,2,906,1090,1647,1958,1278,1396,1354.73,2810,6291.62,4214.01,4203.7,6223.14,762.64,462.96,459.36,752.28,6086.33,4020.66,4029.61,6057.59,738.67,441.47,438.37,736.93
CN10,4G,2,4,3,971,1188,1713,3032,1246,1348,1314.58,2736,4928.29,7343.45,7218.49,4944.89,543.59,881.4,874.34,540.39,4741.39,7127.44,7017.05,4672.19,516.22,862.22,855.09,513.19
CN10,4G,2,4,4,898,1074,1500,2606,1254,1472,1379.82,2854,7332.22,4937.02,4932.31,7363.33,889.72,537.58,535.14,886.93,7130.56,4749.78,4657.05,7093.03,862.66,519.22,514.75,860.89
CN10,4G,2,4,5,938,1123,1696,1893,1262,1378,1345.33,2797,4958.89,7323.35,7267.48,4953.0,544.06,883.86,879.41,544.41,4679.55,7084.03,7038.23,4647.74,514.37,858.42,858.27,509.31
CN10,4G,2,8,1,996,1270,1713,2376,1260,1388,1331.00,2760,6099.23,6191.69,6082.48,6002.83,718.51,714.88,712.6,707.91,6039.06,5977.12,5792.56,5864.2,692.88,690.24,688.83,690.58
CN10,4G,2,8,2,1012,1237,2147,4817,1214,1358,1304.00,2733,5276.62,5378.3,5301.99,5316.71,615.31,609.18,610.43,614.27,4970.34,4971.39,4958.05,4993.17,585.22,590.24,591.11,586.76
CN10,4G,2,8,3,979,1303,1762,2040,1284,1438,1339.50,2759,5357.59,4857.62,5219.68,5299.52,617.1,534.9,609.02,612.61,5575.34,5131.82,5153.91,5177.75,665.89,592.07,591.94,592.73
CN10,4G,2,8,4,971,1254,1696,3654,1222,1368,1324.33,2757,5205.26,5193.24,5193.84,5218.28,611.91,601.85,608.43,612.47,5080.92,5033.25,4954.2,4976.32,594.53,592.61,584.46,591.71
CN10,4G,2,8,5,979,1221,1745,1876,1292,1410,1341.27,2766,6002.23,6221.19,5589.82,6303.17,710.42,715.62,629.63,716.06,5835.4,6571.63,5834.4,6033.38,691.61,775.5,686.15,690.46
CN10,4G,2,12,1,955,1188,1811,2737,1226,1374,1326.50,2764,6150.51,6083.07,6169.99,6063.1,719.31,703.96,713.73,706.28,5882.07,5872.96,5878.74,6027.88,694.1,690.29,692.54,692.81
CN10,4G,2,12,2,922,1156,1663,3130,1206,1376,1309.25,2722,6175.05,6147.2,6118.99,6076.15,715.88,711.68,712.82,711.98,5906.91,5916.13,5811.91,5866.22,693.55,682.26,685.02,692.51
CN10,4G,2,12,3,963,1237,1909,4490,1244,1374,1324.67,2746,6075.73,6196.36,5995.99,6093.34,710.64,715.77,704.96,712.13,5903.91,5876.8,5748.74,5943.05,690.8,687.0,690.03,693.7
CN10,4G,2,12,4,938,1172,1811,5997,1206,1398,1327.00,2769,5292.34,5199.31,5189.99,5278.15,617.02,611.68,606.27,613.48,5022.64,5040.83,5019.5,5084.9,594.06,591.87,591.65,594.49
CN10,4G,2,12,5,947,1172,1909,4883,1254,1366,1335.67,2782,6063.73,6075.53,6095.16,6150.51,714.32,715.36,714.39,718.1,5823.75,5897.3,5918.91,5963.89,689.8,690.02,691.85,684.46
CN10,4G,2,24,1,1037,1418,1844,2900,1194,1310,1266.67,2658,6262.06,6113.36,6202.83,6147.01,719.58,713.83,716.64,714.66,6093.42,6144.64,5892.25,6012.22,694.12,692.0,688.83,689.6
CN10,4G,2,24,2,922,1205,1942,13829,1158,1356,1292.25,2693,6195.56,6118.53,6196.5,6167.35,721.31,714.05,716.42,713.62,5952.26,5791.31,5897.42,5895.73,690.09,684.31,693.25,685.44
CN10,4G,2,24,3,1045,1450,1958,2442,1198,1352,1286.33,2704,6188.2,6160.22,6428.76,6118.51,721.24,712.29,745.21,715.74,5987.59,5866.81,5756.75,5865.4,695.67,689.58,662.6,691.91
CN10,4G,2,24,4,906,1254,2311,3326,1254,1446,1341.83,2809,5304.48,5301.17,5335.57,5300.16,619.45,606.17,616.86,616.22,4999.87,5090.13,5055.61,4989.29,592.31,590.72,594.43,588.39
CN10,4G,2,24,5,1020,1401,1844,3490,1180,1298,1253.50,2618,6509.56,6260.2,6568.17,6163.35,724.1,685.17,743.55,709.16,4985.65,5171.98,5068.51,5034.06,590.94,592.71,594.73,593.16
CN10,4G,4,1,1,3064,8291,14222,35390,448,1490,875.22,3459,8201.99,8250.35,8151.42,7657.2,940.39,936.07,940.08,932.41,7966.4,8057.21,7491.06,7940.82,920.83,921.26,916.23,923.08
CN10,4G,4,1,2,2999,5932,11469,14615,646,1484,952.81,3870,8844.68,8959.54,8843.67,8738.2,1052.07,1051.47,1052.52,1040.3,8643.58,8675.12,8472.33,8597.18,1035.18,1032.64,1017.33,1033.98
CN10,4G,4,1,3,2868,6718,12518,16057,458,1506,933.16,3590,9213.95,8610.51,8791.15,9240.49,1055.53,1043.84,1013.24,1052.75,8454.79,8670.77,8333.43,8710.53,1029.53,1002.22,972.25,1012.47
